"","E5_fs","G5_fs","G8_fs","G12_fs","E5_ss","G1_ss","G5_ss","G8_ss","G12_ss"
"Axl",0,1,0,0,0,0,0,0,0
"Bmpr1a",0,0,1,0,0,0,0,0,0
"Braf",0,0,0,0,0,0,0,0,1
"Brsk2",0,0,0,0,0,0,1,0,0
"Bub1b",0,1,0,0,0,0,0,0,0
"Cdk1",0,0,0,0,0,0,0,0,1
"Cdk13",0,1,0,0,0,0,0,0,0
"Cdk4",0,0,0,0,0,0,0,0,1
"Chek1",0,1,0,0,0,0,1,0,0
"Chek2",0,1,0,0,0,0,0,0,0
"Chka",0,1,0,0,0,0,0,0,0
"Chkb",0,0,0,0,0,1,0,0,0
"Clk3",0,1,0,0,0,0,0,0,0
"Csnk2a1",0,0,1,0,0,0,0,0,0
"Dck",0,1,0,0,0,0,0,0,0
"Epha2",0,1,0,0,0,0,0,0,1
"Fn3krp",0,1,0,0,0,0,0,0,0
"Frk",0,0,1,0,1,0,0,0,0
"Fyn",0,0,0,1,0,0,0,0,1
"Gsk3b",1,0,0,0,0,0,0,0,0
"Ikbke",0,1,0,0,0,0,0,0,0
"Jak1",0,1,0,0,0,0,0,0,0
"Jak3",0,0,0,0,0,0,0,0,1
"Lats1",0,0,0,1,0,0,0,0,1
"Lrrk2",0,1,0,0,0,0,0,0,0
"Lyn",0,1,0,0,0,0,0,0,0
"Mapk1",0,1,0,0,0,0,1,0,0
"Mapk10",1,0,0,0,0,0,0,0,0
"Mapk8",0,0,1,0,0,0,0,0,0
"Mark2",0,0,1,0,0,0,0,0,0
"Mark3",0,1,0,0,0,0,0,0,0
"Nek3",0,1,0,0,0,0,0,0,0
"Nek9",0,1,0,0,0,0,0,0,0
"Nrbp1",0,0,0,0,0,0,0,1,0
"Phkg2",1,0,0,0,0,0,0,0,0
"Pik3r4",1,0,0,0,0,0,0,0,0
"Prkaa1",0,1,0,0,0,0,0,0,0
"Prkacb",0,1,0,0,0,0,0,0,0
"Prkce",0,1,0,0,0,0,0,0,0
"Prkd3",0,0,1,0,0,0,0,0,0
"Rps6kc1",0,1,0,0,0,0,0,0,0
"Stk38",0,1,0,0,0,0,0,0,0
"Stk38l",0,1,0,0,0,0,0,0,0
"Tesk1",0,1,0,0,0,0,0,0,0
"Tnk2",0,1,0,0,0,0,0,0,0
"Ulk1",0,0,1,0,0,0,0,0,0
