"","E5_BL_sig","G1_BL_sig","G5_BL_sig","G8_BL_sig","G12_BL_sig"
"1","Gsk3b",,"Axl","Bmpr1a","Braf"
"2","Mapk10",,"Bub1b","Csnk2a1","Cdk1"
"3","Phkg2",,"Cdk13","Mapk8","Cdk4"
"4","Pik3r4",,"Chek2","Mark2","Jak3"
"5",,,"Chka","Prkd3",
"6",,,"Clk3","Ulk1",
"7",,,"Dck",,
"8",,,"Fn3krp",,
"9",,,"Ikbke",,
"10",,,"Jak1",,
"11",,,"Lrrk2",,
"12",,,"Lyn",,
"13",,,"Mark3",,
"14",,,"Nek3",,
"15",,,"Nek9",,
"16",,,"Prkaa1",,
"17",,,"Prkacb",,
"18",,,"Prkce",,
"19",,,"Rps6kc1",,
"20",,,"Stk38",,
"21",,,"Stk38l",,
"22",,,"Tesk1",,
"23",,,"Tnk2",,
