"","fs","ss"
"Adk",0,1
"Bmpr2",1,1
"Camkk2",0,1
"Cdk6",1,0
"Chuk",0,1
"Clk1",1,0
"Csnk1e",1,1
"Ddr1",1,1
"Dstyk",1,1
"Epha4",1,0
"Ephb2",1,1
"Ephb3",1,1
"Ephb4",1,0
"Erbb2",0,1
"Fastkd5",0,1
"Fer",1,0
"Fgfr2",1,1
"Fn3k",1,1
"Hck",1,1
"Igf1r",1,0
"Ikbkb",0,1
"Ilk",1,1
"Insr",1,0
"Irak4",1,1
"Map3k3",0,1
"Map3k4",0,1
"Mapk14",1,0
"Mapk3",1,1
"Mapk7",1,1
"Mast4",1,1
"Met",0,1
"Mknk2",1,1
"Mtor",0,1
"Nme4",1,0
"Pdgfrb",1,1
"Pfkl",1,0
"Pfkm",0,1
"Pip4k2b",1,0
"Pip4k2c",1,0
"Pkn1",0,1
"Plk1",0,1
"Prkaca",1,0
"Prkdc",1,1
"Riok2",1,0
"Ripk2",1,1
"Rock1",1,1
"Rock2",1,1
"Rps6ka1",1,1
"Rps6ka6",1,1
"Slk",1,0
"Srpk1",1,1
"Stk11",1,0
"Taok3",1,0
"Tec",1,0
"Tk2",0,1
"Trio",0,1
"Wee1",0,1
