"","fs_ss","fs_NA","ss_NA"
"1","Bmpr2","Cdk6","Adk"
"2","Csnk1e","Clk1","Camkk2"
"3","Ddr1","Epha4","Chuk"
"4","Dstyk","Ephb4","Erbb2"
"5","Ephb2","Fer","Fastkd5"
"6","Ephb3","Igf1r","Ikbkb"
"7","Fgfr2","Insr","Map3k3"
"8","Fn3k","Mapk14","Map3k4"
"9","Hck","Nme4","Met"
"10","Ilk","Pfkl","Mtor"
"11","Irak4","Pip4k2b","Pfkm"
"12","Mapk3","Pip4k2c","Pkn1"
"13","Mapk7","Prkaca","Plk1"
"14","Mast4","Riok2","Tk2"
"15","Mknk2","Slk","Trio"
"16","Pdgfrb","Stk11","Wee1"
"17","Prkdc","Taok3",NA
"18","Ripk2","Tec",NA
"19","Rock1",NA,NA
"20","Rock2",NA,NA
"21","Rps6ka1",NA,NA
"22","Rps6ka6",NA,NA
"23","Srpk1",NA,NA
