"","E4_ss_E5_ss_G1_ss_G5_ss_G8_ss_G12_ss","E4_ss_E5_ss_G1_ss_G5_ss_G8_ss_NA","E4_ss_E5_ss_G1_ss_G5_ss_G12_ss_NA","E4_ss_E5_ss_G1_ss_G8_ss_G12_ss_NA","E4_ss_E5_ss_G5_ss_G8_ss_G12_ss_NA","E4_ss_G1_ss_G5_ss_G8_ss_G12_ss_NA","E5_ss_G1_ss_G5_ss_G8_ss_G12_ss_NA","E4_ss_G5_ss_G8_ss_G12_ss_NA_NA","E5_ss_G1_ss_G5_ss_G8_ss_NA_NA","E5_ss_G5_ss_G8_ss_G12_ss_NA_NA","G1_ss_G5_ss_G8_ss_G12_ss_NA_NA","E4_ss_E5_ss_G12_ss_NA_NA_NA","E5_ss_G1_ss_G12_ss_NA_NA_NA","E5_ss_G5_ss_G8_ss_NA_NA_NA","G1_ss_G5_ss_G12_ss_NA_NA_NA","E4_ss_E5_ss_NA_NA_NA_NA","E5_ss_G5_ss_NA_NA_NA_NA","G1_ss_G5_ss_NA_NA_NA_NA","G1_ss_G8_ss_NA_NA_NA_NA","G1_ss_G12_ss_NA_NA_NA_NA","G8_ss_G12_ss_NA_NA_NA_NA","E5_ss_NA_NA_NA_NA_NA","G1_ss_NA_NA_NA_NA_NA","G5_ss_NA_NA_NA_NA_NA","G8_ss_NA_NA_NA_NA_NA","G12_ss_NA_NA_NA_NA_NA"
"1","Csk","Ripk2","Erbb2","Tk2","Wee1","Bmpr2","Pkn1","Fgfr2","Mast4","Pfkm","Adk","Chuk","Map2k4","Prkdc","Egfr","Map3k4","Cdk5","Camkk2","Trio","Clk4","Ephb2","Frk","Chkb","Brsk2","Nrbp1","Acvr1b"
"2","Csnk1e",NA,NA,NA,NA,"Ddr1","Plk4",NA,NA,NA,"Aurka","Mtor",NA,NA,"Mapk7",NA,NA,"Fastkd5",NA,"Map3k3",NA,"Prkaa2",NA,"Chek1",NA,"Braf"
"3","Dstyk",NA,NA,NA,NA,NA,"Tnik",NA,NA,NA,"Map4k5",NA,NA,NA,NA,NA,NA,"Melk",NA,"Met",NA,NA,NA,"Mapk1",NA,"Camk1d"
"4","Ephb3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mknk2",NA,NA,NA,NA,NA,NA,"Rock2",NA,NA,NA,NA,NA,NA,NA,"Camk2a"
"5","Fgfr1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Plk1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Camk2d"
"6","Fn3k",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rock1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cdk1"
"7","Hck",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Srpk1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cdk14"
"8","Ikbkb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cdk4"
"9","Ilk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Epha2"
"10","Irak4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fyn"
"11","Mapk15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jak3"
"12","Mapk3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lats1"
"13","Pdgfrb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Map4k4"
"14","Peak1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stk10"
"15","Pikfyve",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Rps6ka1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Rps6ka6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Ttk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
