"","E4_ss","E5_ss","G1_ss","G5_ss","G8_ss","G12_ss"
"Acvr1b",0,0,0,0,0,1
"Adk",0,0,1,1,1,1
"Aurka",0,0,1,1,1,1
"Bmpr2",1,0,1,1,1,1
"Braf",0,0,0,0,0,1
"Brsk2",0,0,0,1,0,0
"Camk1d",0,0,0,0,0,1
"Camk2a",0,0,0,0,0,1
"Camk2d",0,0,0,0,0,1
"Camkk2",0,0,1,1,0,0
"Cdk1",0,0,0,0,0,1
"Cdk14",0,0,0,0,0,1
"Cdk4",0,0,0,0,0,1
"Cdk5",0,1,0,1,0,0
"Chek1",0,0,0,1,0,0
"Chkb",0,0,1,0,0,0
"Chuk",1,1,0,0,0,1
"Clk4",0,0,1,0,0,1
"Csk",1,1,1,1,1,1
"Csnk1e",1,1,1,1,1,1
"Ddr1",1,0,1,1,1,1
"Dstyk",1,1,1,1,1,1
"Egfr",0,0,1,1,0,1
"Epha2",0,0,0,0,0,1
"Ephb2",0,0,0,0,1,1
"Ephb3",1,1,1,1,1,1
"Erbb2",1,1,1,1,0,1
"Fastkd5",0,0,1,1,0,0
"Fgfr1",1,1,1,1,1,1
"Fgfr2",1,0,0,1,1,1
"Fn3k",1,1,1,1,1,1
"Frk",0,1,0,0,0,0
"Fyn",0,0,0,0,0,1
"Hck",1,1,1,1,1,1
"Ikbkb",1,1,1,1,1,1
"Ilk",1,1,1,1,1,1
"Irak4",1,1,1,1,1,1
"Jak3",0,0,0,0,0,1
"Lats1",0,0,0,0,0,1
"Map2k4",0,1,1,0,0,1
"Map3k3",0,0,1,0,0,1
"Map3k4",1,1,0,0,0,0
"Map4k4",0,0,0,0,0,1
"Map4k5",0,0,1,1,1,1
"Mapk1",0,0,0,1,0,0
"Mapk15",1,1,1,1,1,1
"Mapk3",1,1,1,1,1,1
"Mapk7",0,0,1,1,0,1
"Mast4",0,1,1,1,1,0
"Melk",0,0,1,1,0,0
"Met",0,0,1,0,0,1
"Mknk2",0,0,1,1,1,1
"Mtor",1,1,0,0,0,1
"Nrbp1",0,0,0,0,1,0
"Pdgfrb",1,1,1,1,1,1
"Peak1",1,1,1,1,1,1
"Pfkm",0,1,0,1,1,1
"Pikfyve",1,1,1,1,1,1
"Pkn1",0,1,1,1,1,1
"Plk1",0,0,1,1,1,1
"Plk4",0,1,1,1,1,1
"Prkaa2",0,1,0,0,0,0
"Prkdc",0,1,0,1,1,0
"Ripk2",1,1,1,1,1,0
"Rock1",0,0,1,1,1,1
"Rock2",0,0,1,1,0,0
"Rps6ka1",1,1,1,1,1,1
"Rps6ka6",1,1,1,1,1,1
"Srpk1",0,0,1,1,1,1
"Stk10",0,0,0,0,0,1
"Tk2",1,1,1,0,1,1
"Tnik",0,1,1,1,1,1
"Trio",0,0,1,0,1,0
"Ttk",1,1,1,1,1,1
"Wee1",1,1,0,1,1,1
