"","CEv3.down_G12.down_G8.down_G5.down_G1.down_E5.down_E4.down","G8.down_G5.down_G1.down_E5.down_E4.down_NA_NA","CEv3.down_G12.down_G8.down_E5.down_NA_NA_NA","CEv3.down_G1.down_E5.down_E4.down_NA_NA_NA","CEv3.down_G12.down_E5.down_NA_NA_NA_NA","CEv3.down_G8.down_E5.down_NA_NA_NA_NA","CEv3.down_G1.down_E4.down_NA_NA_NA_NA","CEv3.down_E5.down_E4.down_NA_NA_NA_NA","G8.down_G1.down_E4.down_NA_NA_NA_NA","CEv3.down_G8.down_NA_NA_NA_NA_NA","CEv3.down_E5.down_NA_NA_NA_NA_NA","CEv3.down_E4.down_NA_NA_NA_NA_NA","G12.down_G8.down_NA_NA_NA_NA_NA","G12.down_E4.down_NA_NA_NA_NA_NA","G1.down_E5.down_NA_NA_NA_NA_NA","CEv3.down_NA_NA_NA_NA_NA_NA","G8.down_NA_NA_NA_NA_NA_NA","G5.down_NA_NA_NA_NA_NA_NA","G1.down_NA_NA_NA_NA_NA_NA","E5.down_NA_NA_NA_NA_NA_NA","E4.down_NA_NA_NA_NA_NA_NA"
"1","Cdk1","Mapk9","Cdk2","Met","Tbk1","Slk","Gak","Ripk2","Csnk1e","Limk2","Map3k2","Mark2","Csk","Stk10","Map4k5","Abl2","Mapk8","Limk1","Fes","Fgfr2","Mark3"
"2","Epha2",,,,,,"Gsk3b",,,,,"Prkaa1",,,,"Acvr1","Sik3",,"Map4k4","Ptk2b","Phkg1"
"3","Gsk3a",,,,,,"Ikbkb",,,,,"Riok2",,,,"Cdk18",,,"Tnik",,
"4","Hck",,,,,,,,,,,,,,,"Cdk9",,,,,
"5","hEGFR",,,,,,,,,,,,,,,"Fer",,,,,
"6","Rps6ka4",,,,,,,,,,,,,,,"Jak1",,,,,
"7",,,,,,,,,,,,,,,,"Map2k1",,,,,
"8",,,,,,,,,,,,,,,,"Map2k2",,,,,
"9",,,,,,,,,,,,,,,,"Map3k11",,,,,
"10",,,,,,,,,,,,,,,,"Mylk",,,,,
"11",,,,,,,,,,,,,,,,"Pdk3",,,,,
"12",,,,,,,,,,,,,,,,"Rps6ka6",,,,,
"13",,,,,,,,,,,,,,,,"Src",,,,,
"14",,,,,,,,,,,,,,,,"Stk4",,,,,
"15",,,,,,,,,,,,,,,,"Taok3",,,,,
"16",,,,,,,,,,,,,,,,"Ttk",,,,,
"17",,,,,,,,,,,,,,,,"Yes1",,,,,
