"","E5_BL_sig","G1_BL_sig","G5_BL_sig","G8_BL_sig","G12_BL_sig","OL_BL_sig","EGFRi_sig"
"Abl2",0,0,0,0,0,0,1
"Acvr1",0,0,0,0,0,0,1
"Acvr1b",0,0,0,0,0,0,1
"Agk",0,0,0,0,0,0,1
"Axl",0,0,1,0,0,0,0
"Bmpr1a",0,0,0,1,0,0,0
"Bmpr2",0,0,0,0,0,1,1
"Braf",0,0,0,0,1,0,0
"Brd4",0,0,0,0,0,0,1
"Brsk2",0,0,1,0,0,0,0
"Bub1b",0,0,1,0,0,0,0
"Camk2a",0,0,0,0,0,0,1
"Cdk1",0,0,0,0,1,0,0
"Cdk13",0,0,1,0,0,0,0
"Cdk14",0,0,0,0,0,0,1
"Cdk18",0,0,0,0,0,0,1
"Cdk4",0,0,0,0,1,0,0
"Cdk6",0,0,0,0,0,0,1
"Cdk9",0,0,0,0,0,0,1
"Chek2",0,0,1,0,0,0,0
"Chka",0,0,1,0,0,0,0
"Chkb",0,1,0,0,0,0,0
"Clk3",0,0,1,0,0,0,0
"Csnk1e",0,0,0,0,0,1,0
"Csnk2a1",0,0,0,1,0,0,0
"Csnk2a2",0,0,0,0,0,0,1
"Dck",0,0,1,0,0,0,0
"Ddr1",0,0,0,0,0,1,0
"Dstyk",0,0,0,0,0,1,0
"Epha4",0,0,0,0,0,0,1
"Ephb2",0,0,0,0,0,1,0
"Ephb3",0,0,0,0,0,1,0
"Fer",0,0,0,0,0,0,1
"Fgfr2",0,0,0,0,0,1,0
"Fn3k",0,0,0,0,0,1,1
"Fn3krp",0,0,1,0,0,0,0
"Frk",0,0,0,0,0,0,1
"Gsk3b",1,0,0,0,0,0,0
"Hck",0,0,0,0,0,1,0
"Ikbke",0,0,1,0,0,0,0
"Ilk",0,0,0,0,0,1,0
"Ipmk",0,0,0,0,0,0,1
"Irak4",0,0,0,0,0,1,0
"Jak1",0,0,1,0,0,0,1
"Jak3",0,0,0,0,1,0,0
"Lrrk2",0,0,1,0,0,0,0
"Lyn",0,0,1,0,0,0,0
"Map2k1",0,0,0,0,0,0,1
"Map2k2",0,0,0,0,0,0,1
"Map2k4",0,0,0,0,0,0,1
"Map3k11",0,0,0,0,0,0,1
"Map3k12",0,0,0,0,0,0,1
"Mapk1",0,0,0,0,0,0,1
"Mapk10",1,0,0,0,0,0,0
"Mapk14",0,0,0,0,0,0,1
"Mapk3",0,0,0,0,0,1,0
"Mapk7",0,0,0,0,0,1,0
"Mapk8",0,0,0,1,0,0,0
"Mark2",0,0,0,1,0,0,0
"Mark3",0,0,1,0,0,0,0
"Mast4",0,0,0,0,0,1,0
"Mknk2",0,0,0,0,0,1,0
"Mylk",0,0,0,0,0,0,1
"Nek3",0,0,1,0,0,0,0
"Nek9",0,0,1,0,0,0,0
"Nrbp1",0,0,0,1,0,0,0
"Pak4",0,0,0,0,0,0,1
"Pdgfrb",0,0,0,0,0,1,0
"Pdk3",0,0,0,0,0,0,1
"Phkg2",1,0,0,0,0,0,0
"Pik3r4",1,0,0,0,0,0,0
"Prkaa1",0,0,1,0,0,0,0
"Prkacb",0,0,1,0,0,0,0
"Prkce",0,0,1,0,0,0,1
"Prkd2",0,0,0,0,0,0,1
"Prkd3",0,0,0,1,0,0,1
"Prkdc",0,0,0,0,0,1,0
"Ripk2",0,0,0,0,0,1,0
"Rock1",0,0,0,0,0,1,1
"Rock2",0,0,0,0,0,1,0
"Rps6ka1",0,0,0,0,0,1,0
"Rps6ka5",0,0,0,0,0,0,1
"Rps6ka6",0,0,0,0,0,1,1
"Rps6kc1",0,0,1,0,0,0,0
"Src",0,0,0,0,0,0,1
"Srpk1",0,0,0,0,0,1,0
"Stk38",0,0,1,0,0,0,1
"Stk38l",0,0,1,0,0,0,0
"Stk4",0,0,0,0,0,0,1
"Syk",0,0,0,0,0,0,1
"Taok1",0,0,0,0,0,0,1
"Taok3",0,0,0,0,0,0,1
"Tesk1",0,0,1,0,0,0,0
"Tnk2",0,0,1,0,0,0,0
"Trim28",0,0,0,0,0,0,1
"Ttk",0,0,0,0,0,0,1
"Ulk1",0,0,0,1,0,0,0
"Yes1",0,0,0,0,0,0,1
