"","CEv3.up_G12.up_G8.up_G5.up_G1.up_E5.up_E4.up","CEv3.up_G12.up_G8.up_G1.up_E5.up_E4.up_NA","CEv3.up_G8.up_G5.up_G1.up_E5.up_E4.up_NA","CEv3.up_G8.up_G1.up_E5.up_E4.up_NA_NA","CEv3.up_G8.up_G1.up_E4.up_NA_NA_NA","CEv3.up_G5.up_E5.up_E4.up_NA_NA_NA","CEv3.up_G1.up_E5.up_E4.up_NA_NA_NA","G8.up_G1.up_E5.up_E4.up_NA_NA_NA","CEv3.up_G12.up_E5.up_NA_NA_NA_NA","CEv3.up_G5.up_G1.up_NA_NA_NA_NA","CEv3.up_G1.up_E4.up_NA_NA_NA_NA","CEv3.up_G12.up_NA_NA_NA_NA_NA","CEv3.up_G8.up_NA_NA_NA_NA_NA","CEv3.up_G5.up_NA_NA_NA_NA_NA","CEv3.up_G1.up_NA_NA_NA_NA_NA","CEv3.up_E5.up_NA_NA_NA_NA_NA","CEv3.up_E4.up_NA_NA_NA_NA_NA","G1.up_E4.up_NA_NA_NA_NA_NA","CEv3.up_NA_NA_NA_NA_NA_NA","G12.up_NA_NA_NA_NA_NA_NA","G5.up_NA_NA_NA_NA_NA_NA","G1.up_NA_NA_NA_NA_NA_NA","E5.up_NA_NA_NA_NA_NA_NA","E4.up_NA_NA_NA_NA_NA_NA"
"1","Igf1r","Insr","Camk2d","Prkacb","Pck2","Mapk3","Pip4k2c","Camk2g","Mtor","Nek1","Pkm","Dstyk","Eif2ak2","Rock2","Csnk2a1","Prkd1","Adck1","Hk1","Acvr1b","Chek1","Camk1","Chkb","Fn3krp","Dapk3"
"2",,"Nek9",,,,,,,,,,,,,"Pdgfrb",,"Cdk4",,"Agk","Csnk1g1","Ephb2",,"Map2k5","Nme4"
"3",,"Pdxk",,,,,,,,,,,,,"Prkaca",,"Ephb3",,"Bmpr2","Fyn",,,"Stk3","Pik3cb"
"4",,,,,,,,,,,,,,,,,"Irak4",,"Brd4","Nuak2",,,,"Prkcb"
"5",,,,,,,,,,,,,,,,,,,"Camk2a","Pfkp",,,,"Ulk3"
"6",,,,,,,,,,,,,,,,,,,"Cdk14","Pikfyve",,,,
"7",,,,,,,,,,,,,,,,,,,"Cdk6",,,,,
"8",,,,,,,,,,,,,,,,,,,"Csnk2a2",,,,,
"9",,,,,,,,,,,,,,,,,,,"Epha4",,,,,
"10",,,,,,,,,,,,,,,,,,,"Fn3k",,,,,
"11",,,,,,,,,,,,,,,,,,,"Frk",,,,,
"12",,,,,,,,,,,,,,,,,,,"Ipmk",,,,,
"13",,,,,,,,,,,,,,,,,,,"Map2k4",,,,,
"14",,,,,,,,,,,,,,,,,,,"Map3k12",,,,,
"15",,,,,,,,,,,,,,,,,,,"Mapk1",,,,,
"16",,,,,,,,,,,,,,,,,,,"Mapk14",,,,,
"17",,,,,,,,,,,,,,,,,,,"Pak4",,,,,
"18",,,,,,,,,,,,,,,,,,,"Prkce",,,,,
"19",,,,,,,,,,,,,,,,,,,"Prkd2",,,,,
"20",,,,,,,,,,,,,,,,,,,"Prkd3",,,,,
"21",,,,,,,,,,,,,,,,,,,"Rock1",,,,,
"22",,,,,,,,,,,,,,,,,,,"Rps6ka5",,,,,
"23",,,,,,,,,,,,,,,,,,,"Stk38",,,,,
"24",,,,,,,,,,,,,,,,,,,"Syk",,,,,
"25",,,,,,,,,,,,,,,,,,,"Taok1",,,,,
"26",,,,,,,,,,,,,,,,,,,"Trim28",,,,,
