"","X0.CEv3","X4.CEv3","X24.CEv3","X48.CEv3","cluster","gene","mean_0","mean_48","difference","label"
"Src",0.183754037985761,-1.1447473432947,-0.7774590600477,-1.40808564581692,"1","Src",1.08907433273668,-0.958610489313592,-2.04768482205027,"down"
"Map2k1",1.53082986890017,1.41902873549438,0.34350111298097,-0.0254513384745918,"1","Map2k1",1.08907433273668,-0.958610489313592,-2.04768482205027,"down"
"Ttk",1.22124388070024,0.687361803636728,-1.05766304304556,-0.760253282433953,"1","Ttk",1.08907433273668,-0.958610489313592,-2.04768482205027,"down"
"Acvr1",1.4433237187024,0.903334220014264,-0.650120335174355,-1.1253043899985,"1","Acvr1",1.08907433273668,-0.958610489313592,-2.04768482205027,"down"
"Jak1",0.11618764564788,1.23105994372583,-0.298083080955198,-0.983993485392982,"1","Jak1",1.08907433273668,-0.958610489313592,-2.04768482205027,"down"
"Fer",0.6039003781547,-0.336148687606856,-0.227767743949807,-0.784564033150412,"1","Fer",1.08907433273668,-0.958610489313592,-2.04768482205027,"down"
"Yes1",-0.400302762505446,-0.961919406467494,-1.14571897679046,-1.95497804445554,"1","Yes1",1.08907433273668,-0.958610489313592,-2.04768482205027,"down"
"Cdk18",0.642188263358288,0.59064911470627,-0.233381431248764,0.271461786438596,"1","Cdk18",1.08907433273668,-0.958610489313592,-2.04768482205027,"down"
"Abl2",0.0651047298518622,-0.376125569336628,-1.43422158148132,-0.338073700072794,"1","Abl2",1.08907433273668,-0.958610489313592,-2.04768482205027,"down"
"Map2k2",-0.224918312659098,0.0146199172728701,-0.882238568572258,-0.770635160715091,"1","Map2k2",1.08907433273668,-0.958610489313592,-2.04768482205027,"down"
"Mylk",1.52454942802599,0.821400030513158,0.552355656178619,0.119475888199086,"1","Mylk",1.08907433273668,-0.958610489313592,-2.04768482205027,"down"
"Map3k11",1.07903422551547,1.87349504405772,-1.94740212048163,-0.105816655654051,"1","Map3k11",1.08907433273668,-0.958610489313592,-2.04768482205027,"down"
"Cdk9",0.912041255697605,0.97103945427864,0.67477494634525,0.0470929872260849,"1","Cdk9",1.08907433273668,-0.958610489313592,-2.04768482205027,"down"
"Stk4",1.07401381964906,0.571922534804474,-0.923690728424775,-1.53543971445617,"1","Stk4",1.08907433273668,-0.958610489313592,-2.04768482205027,"down"
"Rps6ka6",2.56859198246893,-0.41568158548884,-1.4922326872553,-1.41605916114473,"1","Rps6ka6",1.08907433273668,-0.958610489313592,-2.04768482205027,"down"
"Taok3",0.362481434516514,-0.941179754939943,-1.05543924084843,-0.12576310740357,"1","Taok3",1.08907433273668,-0.958610489313592,-2.04768482205027,"down"
"Pdk3",0.929485793928948,-0.251234519739629,-1.01963707589955,1.12220350096399,"1","Pdk3",1.08907433273668,-0.958610489313592,-2.04768482205027,"down"
