"","G5_BL_sig_EGFRi_sig_NA_NA_NA_NA_NA","G8_BL_sig_EGFRi_sig_NA_NA_NA_NA_NA","OL_BL_sig_EGFRi_sig_NA_NA_NA_NA_NA","E5_BL_sig_NA_NA_NA_NA_NA_NA","G1_BL_sig_NA_NA_NA_NA_NA_NA","G5_BL_sig_NA_NA_NA_NA_NA_NA","G8_BL_sig_NA_NA_NA_NA_NA_NA","G12_BL_sig_NA_NA_NA_NA_NA_NA","OL_BL_sig_NA_NA_NA_NA_NA_NA","EGFRi_sig_NA_NA_NA_NA_NA_NA"
"1","Jak1","Prkd3","Bmpr2","Gsk3b","Chkb","Axl","Bmpr1a","Braf","Csnk1e","Abl2"
"2","Prkce",,"Fn3k","Mapk10",,"Brsk2","Csnk2a1","Cdk1","Ddr1","Acvr1"
"3","Stk38",,"Rock1","Phkg2",,"Bub1b","Mapk8","Cdk4","Dstyk","Acvr1b"
"4",,,"Rps6ka6","Pik3r4",,"Cdk13","Mark2","Jak3","Ephb2","Agk"
"5",,,,,,"Chek2","Nrbp1",,"Ephb3","Brd4"
"6",,,,,,"Chka","Ulk1",,"Fgfr2","Camk2a"
"7",,,,,,"Clk3",,,"Hck","Cdk14"
"8",,,,,,"Dck",,,"Ilk","Cdk18"
"9",,,,,,"Fn3krp",,,"Irak4","Cdk6"
"10",,,,,,"Ikbke",,,"Mapk3","Cdk9"
"11",,,,,,"Lrrk2",,,"Mapk7","Csnk2a2"
"12",,,,,,"Lyn",,,"Mast4","Epha4"
"13",,,,,,"Mark3",,,"Mknk2","Fer"
"14",,,,,,"Nek3",,,"Pdgfrb","Frk"
"15",,,,,,"Nek9",,,"Prkdc","Ipmk"
"16",,,,,,"Prkaa1",,,"Ripk2","Map2k1"
"17",,,,,,"Prkacb",,,"Rock2","Map2k2"
"18",,,,,,"Rps6kc1",,,"Rps6ka1","Map2k4"
"19",,,,,,"Stk38l",,,"Srpk1","Map3k11"
"20",,,,,,"Tesk1",,,,"Map3k12"
"21",,,,,,"Tnk2",,,,"Mapk1"
"22",,,,,,,,,,"Mapk14"
"23",,,,,,,,,,"Mylk"
"24",,,,,,,,,,"Pak4"
"25",,,,,,,,,,"Pdk3"
"26",,,,,,,,,,"Prkd2"
"27",,,,,,,,,,"Rps6ka5"
"28",,,,,,,,,,"Src"
"29",,,,,,,,,,"Stk4"
"30",,,,,,,,,,"Syk"
"31",,,,,,,,,,"Taok1"
"32",,,,,,,,,,"Taok3"
"33",,,,,,,,,,"Trim28"
"34",,,,,,,,,,"Ttk"
"35",,,,,,,,,,"Yes1"
