"","CEv3.down","G12.down","G8.down","G5.down","G1.down","E5.down","E4.down"
"Abl2",1,0,0,0,0,0,0
"Acvr1",1,0,0,0,0,0,0
"Cdk1",1,1,1,1,1,1,1
"Cdk18",1,0,0,0,0,0,0
"Cdk2",1,1,1,0,0,1,0
"Cdk9",1,0,0,0,0,0,0
"Csk",0,1,1,0,0,0,0
"Csnk1e",0,0,1,0,1,0,1
"Epha2",1,1,1,1,1,1,1
"Fer",1,0,0,0,0,0,0
"Fes",0,0,0,0,1,0,0
"Fgfr2",0,0,0,0,0,1,0
"Gak",1,0,0,0,1,0,1
"Gsk3a",1,1,1,1,1,1,1
"Gsk3b",1,0,0,0,1,0,1
"Hck",1,1,1,1,1,1,1
"hEGFR",1,1,1,1,1,1,1
"Ikbkb",1,0,0,0,1,0,1
"Jak1",1,0,0,0,0,0,0
"Limk1",0,0,0,1,0,0,0
"Limk2",1,0,1,0,0,0,0
"Map2k1",1,0,0,0,0,0,0
"Map2k2",1,0,0,0,0,0,0
"Map3k11",1,0,0,0,0,0,0
"Map3k2",1,0,0,0,0,1,0
"Map4k4",0,0,0,0,1,0,0
"Map4k5",0,0,0,0,1,1,0
"Mapk8",0,0,1,0,0,0,0
"Mapk9",0,0,1,1,1,1,1
"Mark2",1,0,0,0,0,0,1
"Mark3",0,0,0,0,0,0,1
"Met",1,0,0,0,1,1,1
"Mylk",1,0,0,0,0,0,0
"Pdk3",1,0,0,0,0,0,0
"Phkg1",0,0,0,0,0,0,1
"Prkaa1",1,0,0,0,0,0,1
"Ptk2b",0,0,0,0,0,1,0
"Riok2",1,0,0,0,0,0,1
"Ripk2",1,0,0,0,0,1,1
"Rps6ka4",1,1,1,1,1,1,1
"Rps6ka6",1,0,0,0,0,0,0
"Sik3",0,0,1,0,0,0,0
"Slk",1,0,1,0,0,1,0
"Src",1,0,0,0,0,0,0
"Stk10",0,1,0,0,0,0,1
"Stk4",1,0,0,0,0,0,0
"Taok3",1,0,0,0,0,0,0
"Tbk1",1,1,0,0,0,1,0
"Tnik",0,0,0,0,1,0,0
"Ttk",1,0,0,0,0,0,0
"Yes1",1,0,0,0,0,0,0
